@relation soybean

@attribute class {diaporthe-stem-canker, charcoal-rot, rhizoctonia-root-rot,
     phytophthora-rot, brown-stem-rot, powdery-mildew,
     downy-mildew, brown-spot, bacterial-blight,
     bacterial-pustule, purple-seed-stain, anthracnose,
     phyllosticta-leaf-spot, alternarialeaf-spot,
     frog-eye-leaf-spot, diaporthe-pod-&-stem-blight,
     cyst-nematode, 2-4-d-injury, herbicide-injury}
@attribute date		   {april,may,june,july,august,september,october,?}
@attribute plant-stand     {normal,lt-normal,?}
@attribute precip          {lt-norm,norm,gt-norm,?}
@attribute temp            {lt-norm,norm,gt-norm,?}
@attribute hail            {yes,no,?}
@attribute crop-hist       {diff-lst-year,same-lst-yr,same-lst-two-yrs, same-lst-sev-yrs,?}
@attribute area-damaged    {scattered,low-areas,upper-areas,whole-field,?}
@attribute severity        {minor,pot-severe,severe,?}
@attribute seed-tmt        {none,fungicide,other,?}
@attribute germination    {90-100%,80-89%,lt-80%,?}
@attribute plant-growth    {norm,abnorm,?}
@attribute leaves          {norm,abnorm}
@attribute leafspots-halo  {absent,yellow-halos,no-yellow-halos,?}
@attribute leafspots-marg  {w-s-marg,no-w-s-marg,dna,?}
@attribute leafspot-size   {lt-1/8,gt-1/8,dna,?}
@attribute leaf-shread     {absent,present,?}
@attribute leaf-malf       {absent,present,?}
@attribute leaf-mild       {absent,upper-surf,lower-surf,?}
@attribute stem            {norm,abnorm,?}
@attribute lodging         {yes,no,?}
@attribute stem-cankers    {absent,below-soil,above-soil,above-sec-nde,?}
@attribute canker-lesion   {dna,brown,dk-brown-blk,tan,?}
@attribute fruiting-bodies {absent,present,?}
@attribute external decay  {absent,firm-and-dry,watery,?}
@attribute mycelium        {absent,present,?}
@attribute int-discolor    {none,brown,black,?}
@attribute sclerotia       {absent,present,?}
@attribute fruit-pods      {norm,diseased,few-present,dna,?}
@attribute fruit spots     {absent,colored,brown-w/blk-specks,distort,dna,?}
@attribute seed            {norm,abnorm,?}
@attribute mold-growth     {absent,present,?}
@attribute seed-discolor   {absent,present,?}
@attribute seed-size       {norm,lt-norm,?}
@attribute shriveling      {absent,present,?}
@attribute roots           {norm,rotted,galls-cysts,?}

@data
diaporthe-stem-canker,6,0,2,1,0,1,1,1,0,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,4,0,2,1,0,2,0,2,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,3,0,2,1,0,1,0,2,1,2,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,3,0,2,1,0,1,0,2,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,6,0,2,1,0,2,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,5,0,2,1,0,3,0,1,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,5,0,2,1,0,2,0,1,1,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,4,0,2,1,1,1,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,6,0,2,1,0,3,0,1,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0
diaporthe-stem-canker,4,0,2,1,0,2,0,2,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0
charcoal-rot,6,0,0,2,0,1,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0
charcoal-rot,4,0,0,1,1,1,3,1,1,1,1,1,0,2,2,0,0,0,1,1,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0
charcoal-rot,3,0,0,1,0,1,2,1,0,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0
charcoal-rot,6,0,0,1,1,3,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0
